art_name,art_country
Moneybagg Yo,Australia
jetsonmade,Australia
Ashnikko,Australia
Princess Nokia,Australia
Bebe Rexha,Australia
Florida Georgia Line,Australia
Jimmy Barnes,Australia
David Nicholas,Australia
Wham!,Austria
Mariah Carey,Austria
Chris Rea,Austria
Shakin' Stevens,Austria
Ariana Grande,Austria
Sia,Austria
Michael Bublé,Austria
GAYLE,Austria
Bobby Helms,Austria
Kelly Clarkson,Austria
José Feliciano,Austria
Paul McCartney,Austria
Brenda Lee,Austria
Justin Bieber,Austria
Queen,Austria
Melanie Thornton,Austria
Sido,Austria
Dean Martin,Austria
Elton John,Austria
Andy Williams,Austria
Glass Animals,Austria
Bryan Adams,Austria
Band Aid,Austria
Gzuz,Austria
The Ronettes,Austria
Ed Sheeran,Austria
Adele,Austria
Pentatonix,Austria
Coldplay,Austria
Daryl Hall & John Oates,Austria
Amy Grant,Austria
Britney Spears,Austria
